Ranque,Título,Distribudor,Bilheteria global
1,Inside Out 2,Disney Studios,US$ 1 698 030 965
2,Deadpool & Wolverine,Disney Studios,US$ 1 337 870 481
3,Despicable Me 4,Universal,US$ 968 639 256
4,Dune: Part Two,Warner Bros.,US$ 711 844 358
5,Godzilla x Kong: The New Empire,Warner Bros.,US$ 571 750 016
6,Kung Fu Panda 4,Universal,US$ 549 205 628
7,YOLO,CFGC,US$ 484 459 662
8,Pegasus 2,CFGC,US$ 476 036 718
9,Successor,Wanda Media,US$ 471 936 591
10,Beetlejuice Beetlejuice,Warner Bros.,US$ 451 026 587
